row_number,employee_id,email,password,name,dob,gender,location,job_role,salary,dependents,lifestyle_tags,recommended_plan_type,coverage_level,premium_usd,employer_contrib_usd
182,E3727,george97@example.net,BsN6dSH5jD,Anita Richard,,,"Chicago, IL",Project Coordinator,70760.0,,"travel,adventure",Dental,,216.76,328.77
183,E3024,ryanmorales@example.org,fhTCOxfHTy,Eric Morgan,1999-06-23,M,,Software Engineer,82060.0,,,,Gold,,113.24
184,E4323,kimberly18@example.net,aNWqaDF2FI,Jordan Bullock,2001-08-20,,"Hartford, CT",,,2.0,"family,wellness",,,,61.35
185,E5889,michael23@example.org,v6fdgAlkRs,Craig Morrison,2003-07-05,Non-Binary,"Fort Wayne, IN",Project Coordinator,,2.0,"travel,adventure",Life,,66.33,146.05
186,E9595,thompsonkendra@example.com,nSnNdgKUOH,Justin Riley,1998-11-06,Non-Binary,"Omaha, NE",UX Designer,82692.0,2.0,"family,wellness",Disability,,78.57,298.01
187,E1025,michelle52@example.com,hbDOYhV2nZ,Jeremy Turner,1997-04-19,F,,Software Engineer,61673.0,2.0,"family,wellness",,,225.59,
188,E6415,brittany58@example.org,1v7RE6EZcP,,1991-06-26,Non-Binary,"Hartford, CT",Marketing Associate,48671.0,2.0,"tech,gadget",,Gold,,
189,E1510,chase19@example.net,vyOI1kKMyl,Julie Spencer,2005-07-18,Non-Binary,,Data Analyst,,,,Vision,Silver,,218.93
190,E4116,colelisa@example.net,v7EU3HtXuj,Larry Mason,1990-03-15,Non-Binary,,Data Analyst,91771.0,,"active,fitness",Disability,,42.46,
191,E6114,hayeslisa@example.com,O5nummsrIu,Mrs. Maria Williams,,,,Financial Advisor,,2.0,,Vision,,,
192,E8712,hritter@example.net,5RdgydfBzl,Helen Hardin,2001-04-17,Non-Binary,"Chicago, IL",UX Designer,91720.0,0.0,"travel,adventure",Health,,113.81,
193,E4666,vortiz@example.net,j35Nq6xzlS,Rachel Holland,1995-05-30,F,,Data Analyst,75227.0,2.0,"family,wellness",,,205.35,
194,E7773,riveraangela@example.com,pNpJkEyevn,Nathaniel Douglas,2001-04-03,F,"Omaha, NE",,,,"family,wellness",,,,88.06
195,E7208,mathewaguilar@example.org,uFPQdfn0i4,Emily Douglas,2004-12-06,M,"Fort Wayne, IN",UX Designer,82875.0,1.0,,Vision,Platinum,277.08,253.95
196,E9362,tanderson@example.org,z2i2sdx5J9,,2003-10-10,,"Omaha, NE",Software Engineer,,2.0,"travel,adventure",,,,373.57
197,E3527,elizabethcalderon@example.net,s3QiiaePbj,Susan Davis DDS,1998-12-01,,"Hartford, CT",Project Coordinator,72898.0,3.0,"family,wellness",,,,305.82
198,E5411,andrew42@example.org,A7IKxccKET,Ralph Lee,2001-01-05,,"Chicago, IL",UX Designer,50127.0,,"tech,gadget",Health,Gold,273.97,
199,E8687,ericphillips@example.org,KUvAw9Zssk,,2001-05-27,Non-Binary,,Marketing Associate,,2.0,,,Bronze,,148.34
200,E1232,stanleynancy@example.net,VhMl6LVjQC,James Martin,1991-12-07,,"Fort Wayne, IN",Data Analyst,50531.0,1.0,"travel,adventure",Dental,,,274.79
201,E2900,jenniferwilliams@example.com,dkDzEtEV8W,Cynthia Wallace,1993-03-29,Non-Binary,,,,2.0,"tech,gadget",Health,Gold,146.58,
202,E5375,karen73@example.net,ZgqPLzDXRV,,2003-01-26,M,"Fort Wayne, IN",Data Analyst,,0.0,"tech,gadget",Dental,,,378.48
203,E4552,michealvalentine@example.com,8MOhT9hf2M,,2002-09-21,Non-Binary,"Fort Wayne, IN",,64304.0,0.0,"remote,eco",,,,
204,E5336,mburch@example.net,lCeF7mNzlP,David Davidson,1991-03-24,,"Philadelphia, PA",Project Coordinator,,2.0,"active,fitness",Dental,Bronze,,295.02
205,E1060,angela18@example.org,GT8XFEBz2U,Phillip Nelson,,,,Financial Advisor,,2.0,"tech,gadget",,,154.1,
206,E1644,mariahdavis@example.org,9yQmtSy5gO,Stacey Arias,,Non-Binary,,,,,"family,wellness",Life,Platinum,,168.2
207,E7643,gbrown@example.com,hnZPQHD8R3,Zachary Brooks,1991-05-05,M,"Philadelphia, PA",Marketing Associate,75881.0,,,Dental,Gold,56.27,
208,E2742,florescory@example.net,hFMZNoeZmB,Raven Taylor,2004-07-20,,"Chicago, IL",UX Designer,58974.0,1.0,,,Gold,148.44,
209,E7162,samantha72@example.net,Xkb4Ffaal7,,2002-08-14,F,"Hartford, CT",,62756.0,,"mental_health,yoga",Health,Platinum,53.77,
210,E4860,scottmary@example.net,mhHgNx3WIG,,2005-04-11,,,Software Engineer,76091.0,1.0,,,,196.54,
211,E1859,john10@example.org,7IlkYbFGhe,Riley Bryant,2004-03-06,Non-Binary,"Fort Wayne, IN",,,,"travel,adventure",Life,,160.79,100.73
212,E8454,copelandvincent@example.net,lyxiDUmOwr,,,,,Marketing Associate,56219.0,1.0,,Disability,,,398.48
213,E8581,kellysmith@example.com,raUBV3ppuB,Jason Beck,2001-04-09,Non-Binary,"Hartford, CT",Data Analyst,93069.0,0.0,"travel,adventure",,,233.33,
214,E6872,millsmichael@example.net,spPfbEQtkT,Rachel Romero,2000-10-16,M,"Hartford, CT",Project Coordinator,69275.0,0.0,"active,fitness",Vision,,102.84,239.85
215,E2326,myerstheodore@example.net,N4vV7dG86R,James Burgess,,F,"Philadelphia, PA",Software Engineer,,,,Health,Silver,,364.28
216,E7929,kristina53@example.net,rdexwCFGH1,,2003-12-02,Non-Binary,"Hartford, CT",Project Coordinator,,,"travel,adventure",Vision,,104.5,223.72
217,E9530,dennis58@example.com,8ObsARI7iE,Carrie Maxwell,1997-12-15,,,Software Engineer,79053.0,3.0,"tech,gadget",,,183.16,157.27
218,E4715,epollard@example.net,ExsX2djwsD,Chad Baldwin,2001-11-15,Non-Binary,"Fort Wayne, IN",Project Coordinator,88670.0,,"active,fitness",,,85.39,282.94
219,E3423,mjohnson@example.org,xCIkIth6bz,Stacey Stewart,,F,,Project Coordinator,,2.0,"remote,eco",Disability,,,64.03
220,E2914,zachary87@example.com,tbzN1oCwfu,,,,,Data Analyst,74193.0,0.0,,Vision,Bronze,,
221,E7108,glennmartin@example.org,aswwtC3Jfn,Jessica Ross,1997-12-18,F,,Project Coordinator,72776.0,,"family,wellness",,Platinum,,376.6
222,E7156,ykline@example.com,faAO6rAlJD,Kathleen Jimenez,2004-12-08,,,,64791.0,2.0,"tech,gadget",Health,,288.13,215.39
223,E5713,laurie61@example.com,AlF6SPpbhW,Samantha Gardner,1989-06-30,F,"Chicago, IL",UX Designer,76197.0,0.0,"tech,gadget",,,154.48,
224,E6917,curtis54@example.com,AO69wdssHO,Mitchell Jackson,,,"Philadelphia, PA",Software Engineer,65723.0,,"tech,gadget",Health,Gold,33.48,
225,E6575,cbell@example.net,66kgnjGo1m,Heather Bolton,2000-07-12,Non-Binary,"Chicago, IL",Data Analyst,,1.0,"travel,adventure",,Platinum,191.37,169.72
226,E1471,danielle01@example.net,V0hoi2SjSo,Heidi Owen,,M,,Marketing Associate,,0.0,"family,wellness",,,,
227,E4365,stephaniethomas@example.net,L5mlQwbfj2,Jessica Martinez,1994-03-22,F,"Chicago, IL",,,0.0,,,Bronze,,226.47
228,E7004,kimberlydiaz@example.com,SLlCR9gl1w,Amanda Hernandez,,M,,Data Analyst,77493.0,2.0,,,,228.77,
229,E7672,xrush@example.com,s2Bm2e51ZE,Laura Moreno,,Non-Binary,"Philadelphia, PA",Financial Advisor,,3.0,"family,wellness",,,190.64,92.97
230,E9177,redwards@example.org,rWTXLLrWYZ,Allison Lopez,1996-12-22,Non-Binary,"Hartford, CT",Financial Advisor,,2.0,"mental_health,yoga",,Bronze,,112.68
231,E6356,hmcintyre@example.com,jtNNgWeQWH,Michele Lewis,2005-10-12,F,"Hartford, CT",Financial Advisor,80424.0,0.0,"active,fitness",Vision,,38.87,
232,E3689,heather73@example.org,FBitTyFWhK,Benjamin Thompson,2002-10-21,Non-Binary,"Hartford, CT",Software Engineer,,3.0,"remote,eco",,Bronze,,333.34
233,E6591,zosborn@example.net,ygBwwAwdQp,,2002-07-15,M,"Philadelphia, PA",Data Analyst,46291.0,0.0,"travel,adventure",,Platinum,,186.61
234,E9001,piercekelly@example.com,gSRnvFGZWQ,Michelle Ho,2001-10-15,,"Philadelphia, PA",,,3.0,"family,wellness",Health,Bronze,103.81,
235,E6690,laurahicks@example.org,YeP0tGZtBQ,Dr. Cynthia Snyder,1992-06-27,F,"Hartford, CT",,46219.0,1.0,"mental_health,yoga",,Platinum,,
236,E4938,angela57@example.net,jVRWt2BAu3,Stephen Jones,1989-06-11,,"Omaha, NE",UX Designer,60475.0,,,,,,
237,E5551,ukey@example.com,QJlP2c9UFY,,1989-11-18,F,"Hartford, CT",Project Coordinator,,,"family,wellness",Health,,54.37,
238,E7388,martinezlogan@example.org,ZVVp7Bnjgl,,1994-02-27,F,"Philadelphia, PA",UX Designer,,3.0,"mental_health,yoga",,Gold,35.69,262.04
239,E1895,katrinaanderson@example.net,S6YQpqJytO,Amy Martinez,1996-02-20,,"Fort Wayne, IN",,70754.0,2.0,,Dental,Gold,,61.86
240,E9055,kevinmartin@example.net,EVA71vTB46,Travis Stone,1991-08-06,,"Hartford, CT",Financial Advisor,74704.0,0.0,"mental_health,yoga",,Silver,,105.24
241,E3131,meghan43@example.net,2MRAY8uCE3,Denise Weber,,Non-Binary,,Marketing Associate,70788.0,,"active,fitness",Disability,Bronze,83.53,
242,E8027,shawgary@example.net,Mqjf9xk8Kh,,1999-10-17,F,,,,3.0,"travel,adventure",,Gold,,
243,E5289,megan90@example.org,pNC6pxLRPD,,,F,"Hartford, CT",Project Coordinator,72740.0,,,Vision,Platinum,299.12,388.52
244,E1745,debra96@example.net,aqGNytzQxi,Kathleen Burton,,,"Chicago, IL",UX Designer,,,"active,fitness",,Gold,,356.93
245,E5321,dawn47@example.org,HuB5kuVFW8,,2002-09-29,,,,,3.0,,Vision,,60.37,
246,E4337,barkereric@example.com,3sl1kVG0rK,Mr. Lawrence Edwards,,M,,,77644.0,,"tech,gadget",,Bronze,,340.74
247,E8439,jessica56@example.org,O9rMQavcPN,Kayla Rodriguez,1995-04-15,Non-Binary,,Data Analyst,,0.0,"family,wellness",,,290.56,81.22
248,E3669,stevenadams@example.org,yXzsPW9Pjh,Anthony Dougherty,2005-12-19,F,,,69081.0,3.0,"travel,adventure",Disability,Bronze,248.97,
249,E1662,kwright@example.com,GvDRoPRTj7,Michelle Lee,2002-02-13,,,Marketing Associate,53374.0,2.0,"family,wellness",,Bronze,168.62,
250,E5151,tyronerobertson@example.com,wqLfXGbhVQ,Kathleen Davis,,,"Hartford, CT",UX Designer,92454.0,3.0,"remote,eco",,Bronze,193.09,87.22
251,E1095,pwagner@example.org,zhakPEDSz3,Amber Campbell,2004-09-09,F,"Chicago, IL",Project Coordinator,,,,Health,Silver,86.49,
252,E9824,amitchell@example.org,mftXDjEBbh,,1991-06-02,F,,Marketing Associate,,,,Life,Platinum,190.88,
253,E8964,zdiaz@example.org,GLUN7R503F,,1989-05-12,F,,Project Coordinator,,2.0,,Vision,,,
254,E8675,hughesshannon@example.net,i4sUTy9A18,William Becker,2004-06-22,F,"Fort Wayne, IN",UX Designer,50648.0,,"mental_health,yoga",Health,,,56.35
255,E6849,andersoncolin@example.com,Rkl035GcZe,Gina Mcmillan,1990-07-22,M,,UX Designer,48058.0,2.0,"tech,gadget",Disability,Bronze,,
256,E2734,jameshicks@example.net,YNNY28g0Jc,Andrew Reeves,1991-09-30,M,"Fort Wayne, IN",Project Coordinator,78154.0,,"remote,eco",,,142.25,135.86
257,E6592,jstone@example.net,sGkfrxTWAx,Brenda Velazquez,,Non-Binary,,Marketing Associate,71824.0,2.0,,Health,,115.0,
258,E1607,francisco94@example.net,Q7Pj5KdOTZ,Ronald Patel,1999-08-29,F,"Chicago, IL",Project Coordinator,,2.0,"family,wellness",,Silver,198.58,
259,E7627,thomas05@example.com,Xm4tfcIvyU,Veronica Silva,1990-10-29,,"Philadelphia, PA",UX Designer,94613.0,,"family,wellness",Dental,Gold,,
260,E9314,carlsonjoseph@example.net,whdWP8hCtK,Paula Lane,1998-03-01,M,"Chicago, IL",Project Coordinator,,,"tech,gadget",Dental,,,
261,E3401,silvageorge@example.net,TB1AffdB4i,Patricia James,,Non-Binary,"Chicago, IL",Marketing Associate,83292.0,3.0,"tech,gadget",Life,Platinum,,
262,E9408,anthonyvaughan@example.org,3HhSnDEcVk,Jeremy Barnes,1996-04-13,M,,UX Designer,47639.0,0.0,"remote,eco",,,,362.99
263,E4532,avaughn@example.net,l0VFahJwe3,,1998-10-16,Non-Binary,"Omaha, NE",Marketing Associate,,1.0,"travel,adventure",,,198.69,185.53
264,E6554,thorntonapril@example.net,Ic9Q4CVrPf,Matthew Fox,,Non-Binary,"Omaha, NE",Data Analyst,,0.0,,Life,,,56.64
265,E5018,sue78@example.com,1T14LCfZIM,Megan Dillon,,M,"Fort Wayne, IN",Financial Advisor,,0.0,,Vision,,,
266,E1445,chelsea33@example.com,TdtygujA5u,Courtney Dudley,,M,,Financial Advisor,70234.0,,"travel,adventure",,Platinum,,243.93
267,E2663,kellie37@example.com,pWJPYitKAC,,2002-04-05,M,"Fort Wayne, IN",Financial Advisor,81382.0,0.0,,,,97.74,399.73
268,E4485,keith98@example.com,L1GsckVIKe,Jennifer Reed,1996-11-12,M,"Omaha, NE",Software Engineer,65860.0,2.0,"tech,gadget",Dental,,154.15,55.56
269,E1033,kellyroberts@example.net,MEa5aRlAJ5,Thomas Douglas,1998-12-19,,"Philadelphia, PA",Project Coordinator,,3.0,"remote,eco",,Gold,,
270,E6862,ilewis@example.com,mf0NOtZToo,Melissa Taylor,,F,,Software Engineer,,2.0,,Dental,,,140.87
271,E4734,johnsantiago@example.net,4HUYrm2RbS,David Garcia,2001-10-12,Non-Binary,"Philadelphia, PA",Project Coordinator,,2.0,,,Gold,41.74,66.44
272,E9723,jennifer12@example.org,Cuazmvf4KZ,,,Non-Binary,"Philadelphia, PA",,,,"travel,adventure",Disability,Gold,,385.58
273,E6465,mwoods@example.com,HYp8eXMNCW,,1998-01-05,M,"Philadelphia, PA",,,,"family,wellness",,Bronze,,83.54
274,E4819,pearsonjesse@example.net,3MYQNaDyDY,Taylor Gentry,2001-11-28,F,"Philadelphia, PA",UX Designer,,0.0,"mental_health,yoga",Dental,,159.98,
275,E1722,robertmonroe@example.org,ditLBG9PWw,Jennifer Simpson DVM,2000-02-20,M,"Chicago, IL",UX Designer,78926.0,,"family,wellness",Disability,,293.66,
276,E4102,nancy04@example.net,QESSDMSv2L,Tanya Rogers,1995-07-12,F,"Philadelphia, PA",Data Analyst,45242.0,1.0,,Vision,,79.75,
277,E1491,ihays@example.net,JhjsCmOL6W,Todd Rosales MD,,,"Omaha, NE",UX Designer,,,"remote,eco",Health,,,
278,E4934,lisarivera@example.net,xZxQk8HZN4,David Lopez,,M,"Fort Wayne, IN",Software Engineer,,3.0,"mental_health,yoga",Disability,Gold,,328.46
279,E9327,krystal93@example.org,9L4FnUfYEY,Margaret Sullivan,,F,"Chicago, IL",Financial Advisor,66091.0,3.0,"travel,adventure",,,,
280,E7963,frobertson@example.com,4yKk71xqJf,,1989-11-19,Non-Binary,,Financial Advisor,72925.0,3.0,"travel,adventure",,,,78.85
281,E9401,shari04@example.com,IPfYr7oghe,Paul Finley,,M,"Omaha, NE",Project Coordinator,57493.0,1.0,"tech,gadget",,,123.59,381.04
282,E1194,brandi90@example.com,EPGW8j3zoo,Melissa Brown,1992-09-15,Non-Binary,"Chicago, IL",Project Coordinator,67325.0,2.0,"travel,adventure",,Platinum,,
283,E1158,marshallerik@example.net,FZQ1wvoABR,Stephanie Padilla,2005-02-09,,,Data Analyst,55072.0,2.0,"family,wellness",Disability,,135.47,
284,E8397,hannah45@example.net,O5tfkgRJlc,Tyler Mendoza,2001-07-13,,,Software Engineer,,0.0,,,,142.97,186.15
285,E4382,madkins@example.com,i3ntB0TQEk,Joshua Ruiz,1994-12-17,Non-Binary,,Data Analyst,,3.0,"mental_health,yoga",Disability,,,276.2
286,E6681,kathleenbecker@example.net,S1TYtzN0Z2,,,Non-Binary,"Hartford, CT",,,,,,Bronze,,222.72
287,E2986,christian91@example.org,xeWgGXXuAC,,1992-08-25,,"Hartford, CT",Project Coordinator,,,"tech,gadget",Vision,,48.42,134.8
288,E3297,franklinbond@example.com,E0r1kk1bMg,,1990-10-14,,"Philadelphia, PA",Software Engineer,,0.0,,Health,,,51.63
289,E4305,nolansean@example.org,7px6pmfbAb,Jose Bryant,1995-07-24,Non-Binary,"Fort Wayne, IN",Data Analyst,,,,,Silver,,
290,E2734,hansenemily@example.com,wulazPuayn,Jennifer Velasquez,1989-06-24,F,,Software Engineer,84247.0,0.0,,Health,Platinum,292.54,166.22
291,E6209,bethwilliams@example.com,2QEevbM6LC,Kimberly Brown,2002-05-14,Non-Binary,,Financial Advisor,,3.0,,,,131.45,133.32
292,E8270,andersenthomas@example.com,V4viruPYWc,Randy Cannon,1997-04-21,F,"Fort Wayne, IN",UX Designer,58488.0,1.0,"tech,gadget",Disability,,,222.07
293,E1853,ybrooks@example.com,Oj8niflLJ1,Susan Bennett,,M,"Hartford, CT",,,1.0,"family,wellness",,,,
294,E9278,desireebailey@example.org,NVBWj09YEb,Jenna Anderson DVM,1997-08-02,F,"Fort Wayne, IN",Software Engineer,,2.0,"family,wellness",,,,351.58
295,E7131,avilatiffany@example.com,Fz7A8zVxyF,Kimberly Patel,,M,"Philadelphia, PA",,95000.0,2.0,"tech,gadget",Life,Gold,205.74,
296,E1565,johnreed@example.com,60xOTRbSQP,,2001-07-30,,"Fort Wayne, IN",Project Coordinator,,0.0,"travel,adventure",Disability,Bronze,,
297,E5951,pachecorobert@example.org,G9IQ4yLtUA,Austin Wheeler,2004-04-26,M,"Omaha, NE",UX Designer,,,"mental_health,yoga",,Platinum,206.72,
298,E3200,tharper@example.org,mFlG8hCK0n,,1989-04-28,,"Hartford, CT",,,,,,,,71.37
299,E1118,karenparsons@example.org,QLYcgnHYay,Donna Cabrera,2005-01-28,F,"Omaha, NE",UX Designer,67483.0,1.0,"tech,gadget",,Gold,,
300,E3275,barbara53@example.com,bMh3Hr8SW0,,1998-02-19,Non-Binary,"Chicago, IL",,86816.0,,"remote,eco",Vision,Silver,138.04,
301,E8800,dturner@example.net,Q2S5gUysMm,Sheryl Buck,1999-08-31,Non-Binary,"Fort Wayne, IN",Data Analyst,89109.0,,"travel,adventure",Life,,76.02,
302,E1478,dpeters@example.com,k77u5yXroU,Megan Floyd,1998-09-06,,"Fort Wayne, IN",Project Coordinator,50927.0,2.0,"family,wellness",,,223.71,183.58
303,E8159,heather62@example.com,Zooqhsfhfv,Paul Wells,1992-03-21,M,"Fort Wayne, IN",Marketing Associate,,1.0,"travel,adventure",Vision,Silver,,188.36
304,E8546,kevinzimmerman@example.com,uj08s1oFRD,,,Non-Binary,"Philadelphia, PA",UX Designer,,3.0,"mental_health,yoga",,,223.53,
305,E1861,paulscott@example.com,73Xl2FUzt0,Tammy Boone,1991-07-28,Non-Binary,"Hartford, CT",UX Designer,,,"mental_health,yoga",,,243.64,68.94
306,E5981,nicholsmaria@example.org,DPkKiCSEs5,,1992-11-21,M,"Philadelphia, PA",,,3.0,"mental_health,yoga",,,44.17,277.53
307,E3434,lopezkathleen@example.net,OUzpchpzFt,Claire Clark,1991-11-14,F,"Philadelphia, PA",Project Coordinator,86440.0,,,Life,,184.71,145.8
308,E3967,kevin03@example.org,yEPSBtKigu,,2005-11-01,F,"Philadelphia, PA",Financial Advisor,79739.0,0.0,"mental_health,yoga",,,,63.7
309,E3641,srocha@example.net,fJq2WcfhGt,Jennifer Allen,,,,Financial Advisor,64228.0,,"travel,adventure",Disability,Gold,167.86,
310,E1601,kimberly67@example.net,mjt21n9iMJ,,1996-01-20,Non-Binary,"Philadelphia, PA",UX Designer,55703.0,0.0,"tech,gadget",Dental,Bronze,102.74,275.95
311,E9379,zowens@example.net,MkA0juYByb,Ryan Rocha,,M,"Chicago, IL",UX Designer,68777.0,,,,,58.35,111.51
312,E6022,lawrence09@example.org,L0ZFgHwSK3,Alexis Tran,1994-01-29,,,Project Coordinator,79844.0,3.0,,Disability,,,371.45
313,E7064,mphillips@example.com,TXpRMATDlC,Kelly Sanchez,2005-11-28,,"Hartford, CT",Project Coordinator,,0.0,"travel,adventure",Health,Bronze,,70.09
314,E9074,jonathan77@example.com,Z3a98BRG7U,,1999-03-02,Non-Binary,"Philadelphia, PA",,,3.0,"tech,gadget",Disability,Bronze,290.45,358.68
315,E4687,iwhite@example.net,lex1iGw8dB,Kelly Combs,1991-10-28,M,"Fort Wayne, IN",Data Analyst,,,"tech,gadget",Dental,Bronze,270.97,
316,E8542,landryelizabeth@example.org,vtwgaw4Ulz,Ryan Hall,1990-04-10,,"Chicago, IL",,,,"travel,adventure",,Silver,102.76,
317,E3291,albertwagner@example.com,wVBaw43Tmh,,,F,,Software Engineer,88597.0,0.0,"family,wellness",,Platinum,279.36,
318,E2767,bhopkins@example.org,YbijwGaXRp,,1995-09-03,Non-Binary,"Hartford, CT",UX Designer,94866.0,1.0,,Health,Silver,,
319,E9230,amanda40@example.net,Nlm2LOOjoh,,1988-11-10,M,,,,2.0,,,Platinum,,
320,E7849,danieldavis@example.org,pu5dlcadQV,Manuel King,1994-05-26,,,Marketing Associate,,0.0,"mental_health,yoga",Vision,,104.51,
321,E2971,joseph61@example.com,cL964P0mmT,Judy Sanchez,,Non-Binary,"Omaha, NE",Software Engineer,,1.0,,Disability,,223.68,
322,E9255,kevinclayton@example.org,YbkMrS9isc,Shannon Malone,1989-05-13,,"Hartford, CT",Financial Advisor,,3.0,"travel,adventure",,,88.81,357.7
323,E8461,sullivannicholas@example.com,GTUHqt2osT,Adam Jackson,,M,,Software Engineer,63203.0,2.0,"active,fitness",Dental,Silver,,
324,E2363,pbruce@example.com,8T4JqUiA5N,Shannon Davis,1989-04-14,M,"Fort Wayne, IN",,46024.0,0.0,"tech,gadget",Vision,Silver,,253.58
325,E7479,hallrachel@example.net,jCoUUBxj5E,,1992-01-26,,"Hartford, CT",Software Engineer,,1.0,"tech,gadget",,,275.47,85.08
326,E1193,cohenjuan@example.net,Mgyybh0aW1,Amanda Mcfarland,,,,Data Analyst,51969.0,2.0,,Life,Platinum,,135.33
327,E5382,alexis39@example.org,OIhb0cgIsg,Michelle Sanders,,,"Hartford, CT",UX Designer,59803.0,3.0,"tech,gadget",,,,
328,E6906,evansanne@example.net,776f5cMjlB,Jasmine Mosley,,,"Omaha, NE",UX Designer,,3.0,"remote,eco",Health,Silver,,206.34
329,E8838,patrick21@example.net,0ehKB9Urjf,Haley Davis,,F,"Hartford, CT",Project Coordinator,84435.0,,"tech,gadget",,Platinum,163.0,
330,E7911,marypeterson@example.net,HKXSZVoSfp,Jennifer Ayala,1992-07-23,M,"Hartford, CT",,,,"mental_health,yoga",Disability,,,98.23
331,E3344,walterskristen@example.com,yUbS9BxdSg,Henry Pugh MD,1989-08-27,Non-Binary,,,,,"mental_health,yoga",Dental,,,
332,E2822,nmiller@example.com,jd4PcMWlGk,,1997-07-02,F,"Omaha, NE",Financial Advisor,59897.0,,"active,fitness",Dental,Platinum,,311.1
333,E2264,normanbowers@example.org,0SDEuPPz0y,,1996-05-01,,,Financial Advisor,,,,,,84.47,
334,E1735,hahnsean@example.com,KYEcduf8ta,Brandon Jordan,2004-11-09,F,"Omaha, NE",Project Coordinator,53488.0,0.0,"tech,gadget",Disability,,,
335,E3641,fgarcia@example.com,jRDf4Of8To,Linda Mueller,2003-04-14,,"Chicago, IL",Project Coordinator,79294.0,2.0,"mental_health,yoga",Vision,,222.45,133.69
336,E2228,asmith@example.com,9jKOFgZajX,Misty Hansen,2000-04-09,M,"Hartford, CT",,63357.0,,"mental_health,yoga",,Platinum,,373.46
337,E8999,ashleyjackson@example.com,cx2szA2N6R,,1996-03-23,Non-Binary,,Marketing Associate,62224.0,0.0,,Dental,,,249.55
338,E4654,bryanhamilton@example.com,y3DQfwDDPI,Richard Ward,,M,"Hartford, CT",Software Engineer,,,"tech,gadget",,Silver,,248.87
339,E7230,jennifersimpson@example.net,d7ZxYBEndn,Brian Torres,2005-01-05,,,Data Analyst,,3.0,,,,,
340,E6722,ncook@example.com,8AEEISYk9S,Erin Cook,2003-07-17,M,,Project Coordinator,,,"travel,adventure",Life,Bronze,,302.8
341,E3059,kevinmorrison@example.net,OCOLgcnVmA,Ernest Oconnell,,,"Fort Wayne, IN",Project Coordinator,,,"remote,eco",Health,,124.97,199.05
342,E6502,kelly79@example.org,h7lDBxlJMk,Douglas Hartman,1996-07-22,Non-Binary,"Hartford, CT",Project Coordinator,51502.0,,"active,fitness",,Bronze,165.91,283.7
343,E4471,daniel93@example.net,oXDJyhm2E8,,2005-10-20,F,,UX Designer,,2.0,"travel,adventure",Health,,37.09,344.27
344,E6201,nhahn@example.com,vk9KBpJzmN,Sandra Jones,1989-02-26,Non-Binary,"Hartford, CT",Software Engineer,65848.0,,"tech,gadget",,Platinum,,243.52
345,E4338,ichambers@example.net,ffbBaOXLjb,David Moore,2000-03-11,M,"Philadelphia, PA",Software Engineer,86580.0,,"tech,gadget",,Silver,,
346,E2359,emccormick@example.com,7jObOL3ghD,Karen Morales DDS,,,,Marketing Associate,,3.0,,,,114.67,
347,E1166,ystephens@example.com,5lQKOM2chv,Robin Wheeler,1998-11-08,Non-Binary,"Fort Wayne, IN",UX Designer,57638.0,0.0,,,,,
348,E5483,rodriguezjohn@example.net,Em9fwTJPsD,Matthew Williams,1999-02-13,F,,Project Coordinator,,,"family,wellness",Dental,,150.46,
349,E2762,vrasmussen@example.com,MyBmKwx5O0,,1991-10-02,,,Project Coordinator,,,"remote,eco",,,,
350,E1178,seanmyers@example.net,TvnDKYu5oJ,,1994-05-12,,,Financial Advisor,,3.0,"travel,adventure",,Bronze,164.64,
351,E3803,webbkenneth@example.org,MuLypKbsbP,Todd Thomas,2000-11-29,,,Financial Advisor,,,"active,fitness",Life,,,
352,E1771,matthew38@example.com,ztSDF2P96h,Brent Bowen,,,,UX Designer,92464.0,,"tech,gadget",Vision,Bronze,,
353,E5985,tflores@example.org,eqvSNYZyrS,,1991-02-02,,"Fort Wayne, IN",Marketing Associate,,1.0,"tech,gadget",,,,78.98
354,E4971,byrdfrank@example.net,QPV2nSeeFd,,,,"Philadelphia, PA",Financial Advisor,78680.0,2.0,,,,128.18,353.75
355,E7556,omullen@example.com,merBkRt83K,Charlotte Sandoval,1991-04-21,M,,,46873.0,3.0,"active,fitness",,,165.59,
356,E2602,njohnson@example.org,dPyU7Bmsmz,,1994-03-10,F,"Philadelphia, PA",,,0.0,,Health,,197.46,
357,E5395,jamiegoodwin@example.org,FnkYnwOsTM,Rebecca Herrera,,Non-Binary,"Chicago, IL",UX Designer,,2.0,,,Bronze,,391.03
358,E3797,mark71@example.com,RW2aMwELaF,Katherine Church,,M,"Omaha, NE",Financial Advisor,,,"tech,gadget",Life,Gold,,
359,E6467,candice96@example.net,5HXQ2351ME,,2003-05-19,,"Hartford, CT",Project Coordinator,68409.0,1.0,"tech,gadget",,,287.8,387.91
360,E9927,lisamccarthy@example.com,56C94Hlq6R,Leslie Powers,1995-06-06,F,"Omaha, NE",Data Analyst,,0.0,"travel,adventure",,,,102.58
361,E3664,david41@example.org,tFseZsaDcn,Charles Price,,F,"Hartford, CT",,,2.0,"family,wellness",,Bronze,68.51,201.22
362,E5764,baileyhenderson@example.com,ocE7wpZROy,Melissa Brewer,1990-03-14,F,"Fort Wayne, IN",Project Coordinator,,,"travel,adventure",,Gold,199.65,181.59
